2022-07-07T20:59:00+00:00 CRITICAL syntax error, unexpected '$archivo' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 28

2022-07-07T20:59:00+00:00 CRITICAL syntax error, unexpected '$archivo' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 28

2022-07-07T20:59:00+00:00 CRITICAL syntax error, unexpected '$archivo' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 28

2022-07-07T20:59:00+00:00 CRITICAL syntax error, unexpected '$archivo' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 28

2022-07-07T20:59:05+00:00 CRITICAL syntax error, unexpected '$archivo' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 28

2022-07-07T20:59:05+00:00 CRITICAL syntax error, unexpected '$archivo' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 28

